フローID,ステップID,ステップ名
PC動作不良,SD,何をしても、常に全体的に遅い
アプリのフリーズ,start,🧊 特定アプリがフリーズ
アプリのフリーズ,hear1,🤔 状況を詳しくヒアリングします\n【ヒアリング①②③】
アプリのフリーズ,restart,🔄 再起動を試します\n【確認依頼】アプリ強制終了後再起動で一時的に直るか？
アプリのフリーズ,restart_no,[いいえ]\nパソコン再起動を案内
アプリのフリーズ,restart_yes,[はい]
アプリのフリーズ,newfile,📄 新規ファイルでも発生しますか？\n【ヒアリング】いつも同じファイルで発生するか？
アプリのフリーズ,samefile,"[はい, 同じファイルで発生する]\n新規ファイルで試すよう依頼"
アプリのフリーズ,difffile,"[いいえ, どのファイルでも発生する]"
アプリのフリーズ,newfile_no,[新規ファイルではフリーズしない]\nファイル破損の可能性が高いことを説明
アプリのフリーズ,newfile_yes,[新規ファイルでもフリーズする]\nアプリ本体やPC環境の問題の可能性が高い
アプリのフリーズ,latest,✨ アプリは最新の状態ですか？\n【確認依頼】アプリのアップデート確認を依頼
アプリのフリーズ,repair,🔧 アプリの「修復（リペア）」を試します\n【手順案内】アプリの修復手順を案内
アプリのフリーズ,load,🏃 パソコンに負荷がかかりすぎていませんか？\n【ヒアリング】【確認依頼】他のアプリやタブを閉じて確認を依頼
アプリのフリーズ,others,👥 周りの人も同じ状況ですか？\n【ヒアリング】周りの人も同じ現象が起きるか？
アプリのフリーズ,same_others,"[はい, 周りも同じ現象が起きる]\n開発元への確認や社内システムとの関連を調査すると伝える、システム管理部門へエスカレーション"
アプリのフリーズ,diff_others,"[いいえ, 自分だけ]\nお客様のPC固有の問題の可能性が高い"
アプリのフリーズ,reinstall,♻️ アプリの再インストールとエスカレーション\n【手順案内】アプリの再インストールを提案、リスク説明の上、エスカレーションを提案
アプリのフリーズ,end,End
Web会議のトラブル,A1,状況ヒアリング\n(症状の確認)
Web会議のトラブル,A2,アプリor PC再起動
Web会議のトラブル,A3,再起動の結果
Web会議のトラブル,A4,STEP 2へ
Web会議のトラブル,A5,PC再起動\nを案内
Web会議のトラブル,B1,"トラブル内容\n(A,B,C,D)"
Web会議のトラブル,B2,分岐A：音声トラブル
Web会議のトラブル,B3,分岐B：映像トラブル
Web会議のトラブル,B4,分岐C：接続トラブル
Web会議のトラブル,B5,分岐D：その他トラブル
Web会議のトラブル,C1,物理接続とミュート確認
Web会議のトラブル,C2,アプリ画面上ミュート確認
Web会議のトラブル,C3,音量設定確認
Web会議のトラブル,D1,物理的カメラON/OFF確認
Web会議のトラブル,D2,アプリ画面上ビデオ停止確認
Web会議のトラブル,D3,カメラアクセス許可確認
Web会議のトラブル,E1,インターネット接続確認
Web会議のトラブル,E2,招待情報確認
Web会議のトラブル,E3,ネットワーク負荷確認
Web会議のトラブル,E4,ネットワーク問題へ
Web会議のトラブル,F1,他の参加者の状況確認
Web会議のトラブル,F2,他の人も同じ状況
Web会議のトラブル,F3,自分だけ
Web会議のトラブル,F4,システム管理部門へエスカレーション
Web会議のトラブル,F5,専門担当者へエスカレーション
共有フォルダアクセス不可,start,🤔 状況を詳しくヒアリングします
共有フォルダアクセス不可,hearing1,【ヒアリング①】共有フォルダ名、場所
共有フォルダアクセス不可,hearing2,【ヒアリング②】エラーメッセージ
共有フォルダアクセス不可,hearing3,【ヒアリング③】いつからアクセス不可？
共有フォルダアクセス不可,important_question,👥【最重要】周りの人もアクセスできませんか？
共有フォルダアクセス不可,yes_others_cannot,[はい、周りもアクセスできない]
共有フォルダアクセス不可,no_others_can,[いいえ、自分だけです]
共有フォルダアクセス不可,escalation,【手順案内】専門部署に確認依頼
共有フォルダアクセス不可,step2,▼ STEP 2：ネットワーク接続の基本確認
共有フォルダアクセス不可,location,🏠 社内ですか？ 社外ですか？
共有フォルダアクセス不可,outside,[社外です]
共有フォルダアクセス不可,inside,[社内です]
共有フォルダアクセス不可,vpn_connected,[はい]
共有フォルダアクセス不可,vpn_not_connected,[いいえ]
共有フォルダアクセス不可,vpn_troubleshooting,VPNの接続トラブルシューティング
共有フォルダアクセス不可,internet_access,🌐 インターネットは見れますか？
共有フォルダアクセス不可,internet_yes,[はい]
共有フォルダアクセス不可,internet_no,[いいえ]
共有フォルダアクセス不可,internet_troubleshooting,ネットワーク接続トラブルシューティング
共有フォルダアクセス不可,reboot,🔄 パソコンの再起動は試しましたか？
共有フォルダアクセス不可,reboot_yes,解決しない場合
共有フォルダアクセス不可,step3,▼ STEP 3：アクセス権の確認
共有フォルダアクセス不可,check_permission,🔑 アクセス権を確認します
共有フォルダアクセス不可,permission_granted,[権限が付与されていなかった場合]
共有フォルダアクセス不可,permission_not_granted,[権限は正しく設定されていた場合]
共有フォルダアクセス不可,grant_permission,【手順案内】アクセス権設定
共有フォルダアクセス不可,step4,▼ STEP 4：最終切り分けとエスカレーション
共有フォルダアクセス不可,escalate,🆘 専門担当者による詳細調査へ
共有フォルダアクセス不可,end,【重要】情報を正確に伝える
モニターが映らない,A1,電源ケーブル接続確認\n(コンセント＆モニター本体)
モニターが映らない,A2,電源ランプの状態確認\n(点灯？点滅？消灯？)
モニターが映らない,A3,メッセージ表示確認\n(信号なし？など)
モニターが映らない,C1,映像ケーブル挿し直し\n(パソコン＆モニター両端)
モニターが映らない,C2,別の差込口を試す
モニターが映らない,D1,パソコンの起動確認\n(電源ランプ、ファン音)
モニターが映らない,D2,スリープ状態確認
モニターが映らない,E2,キー操作で画面切り替え\n(Windowsキー＋Pキー)
モニターが映らない,F1,他の機材で試す
モニターが映らない,E1,パソコン本体の電源トラブル
モニターが映らない,G1,モニターまたはケーブル故障
モニターが映らない,G2,パソコン本体故障
モニターが映らない,G3,専門担当者による診断
PCが起動しない,A0,▼ STEP 1：電源の確認
PCが起動しない,A1,🔌 電源ケーブルを挿し直す
PCが起動しない,A2,💡 電源タップとコンセントを確認
PCが起動しない,A3,🔋(ノートPCの場合)充電を試す
PCが起動しない,A4,はい
PCが起動しない,A5,いいえ、デスクトップです
PCが起動しない,B0,🤔 電源ボタンを押すと、どうなりますか？
PCが起動しない,B1,A.【完全な無反応】
PCが起動しない,B2,B.【反応はあるが画面は真っ暗】
PCが起動しない,B3,C.【途中で止まってしまう】
PCが起動しない,C0,🔗 周辺機器をすべて外してみましょう
PCが起動しない,C1,解決しない場合
PCが起動しない,D0,🖥️ モニターの電源と接続を確認します
PCが起動しない,D1,解決しない場合
PCが起動しない,E0,💬 エラーメッセージを確認します
PCが起動しない,E1,🔗 周辺機器が邪魔をしていませんか？
PCが起動しない,E2,解決しない場合
PCが起動しない,F0,⚠️【重要】これ以上の操作は危険です
PCが起動しない,F1,🆘 専門担当者による診断・修理へ
PCが起動しない,A6,再起動成功
